CarID,Symboling,CarName,FuelType,Aspiration,CarBody,WheelBase,CarWidth,CurbWeight,CylinderNumber,HorsePower,Citympg,Price
1,3,alfa-romero giulia,gas,std,convertible,88.6,64.1,2548,four,111,21,13495
2,3,alfa-romero stelvio,gas,std,convertible,88.6,64.1,2548,four,111,21,16500
3,1,alfa-romero Quadrifoglio,gas,std,hatchback,94.5,65.5,2823,six,154,19,16500
4,2,audi 100 ls,gas,std,sedan,99.8,66.2,2337,four,102,24,13950
5,2,audi 100ls,gas,std,sedan,99.4,66.4,2824,five,115,18,17450
6,2,audi fox,gas,std,sedan,99.8,66.3,2507,five,110,19,15250
7,1,audi 100ls,gas,std,sedan,105.8,71.4,2844,five,110,19,17710
8,1,audi 5000,gas,std,wagon,105.8,71.4,2954,five,110,19,18920
9,1,audi 4000,gas,turbo,sedan,105.8,71.4,3086,five,140,17,23875
10,0,audi 5000s (diesel),gas,turbo,hatchback,99.5,67.9,3053,five,160,16,17859.167
11,2,bmw 320i,gas,std,sedan,101.2,64.8,2395,four,101,23,16430
12,0,bmw 320i,gas,std,sedan,101.2,64.8,2395,four,101,23,16925
13,0,bmw x1,gas,std,sedan,101.2,64.8,2710,six,121,21,20970
14,0,bmw x3,gas,std,sedan,101.2,64.8,2765,six,121,21,21105
15,1,bmw z4,gas,std,sedan,103.5,66.9,3055,six,121,20,24565
16,0,bmw x4,gas,std,sedan,103.5,66.9,3230,six,182,16,30760
17,0,bmw x5,gas,std,sedan,103.5,67.9,3380,six,182,16,41315
18,0,bmw x3,gas,std,sedan,110,70.9,3505,six,182,15,36880
19,2,chevrolet impala,gas,std,hatchback,88.4,60.3,1488,three,48,47,5151
20,1,chevrolet monte carlo,gas,std,hatchback,94.5,63.6,1874,four,70,38,6295
21,0,chevrolet vega 2300,gas,std,sedan,94.5,63.6,1909,four,70,38,6575
22,1,dodge rampage,gas,std,hatchback,93.7,63.8,1876,four,68,37,5572
23,1,dodge challenger se,gas,std,hatchback,93.7,63.8,1876,four,68,31,6377
24,1,dodge d200,gas,turbo,hatchback,93.7,63.8,2128,four,102,24,7957
